"","table_no","p_value","ID","species","nurse_p","nurse_a","bare_p","bare_a"
"1298",1298,0.71108551772226,"198","Lapeirousia bainesii",3,42,5,40
"1299",1299,1,"198","Rhynchosia minima",2,43,1,44
"1300",1300,1,"198","Melhania burchellii",0,45,1,44
"1301",1301,1,"198","Trachyandra revoluta",1,44,0,45
"1302",1302,1,"198","Cucumis meeusei",1,44,0,45
"1303",1303,0.609003960392302,"198","Sida ovata",1,44,3,42
"1304",1304,0.240218655616988,"198","Lantana angolensis",3,42,0,45
"1305",1305,1,"198","Melinis repens",1,44,0,45
"1306",1306,0.71108551772226,"198","Blepharis integrifolia",3,42,5,40
"1307",1307,1,"198","Seddera suffruticosa",0,45,1,44
"1308",1308,0.474549143449401,"198","Triraphis schinzii",2,43,0,45
"1309",1309,1,"198","Grewia flava",1,44,0,45
"1310",1310,1,"198","Dichrostachys cinerea",1,44,0,45
"1311",1311,1,"198","Terminalia sericea",1,44,1,44
"1312",1312,0.0133283287808176,"199","Sida cordifolia",9,16,1,24
"1313",1313,1.5568043135115e-05,"199","Commiphora angolensis",15,10,0,25
"1314",1314,0.233660388894587,"199","Commelina benghalensis",3,22,0,25
"1315",1315,1,"199","Acacia luederitzii",1,24,0,25
"1316",1316,4.22870255672508e-05,"199","Rhynchosia totta",14,11,0,25
"1317",1317,0.0133283287808176,"199","Herb indet. 1",9,16,1,24
"1318",1318,0.000640298032161445,"199","Grewia flavescens",11,14,0,25
"1319",1319,1,"199","Cyperus margaritaceus",1,24,0,25
"1320",1320,0.34577858615116,"199","Ipomoea bolusiana",1,24,4,21
"1321",1321,3.263814286725e-07,"199","Eragrostis trichophora",4,21,23,2
"1322",1322,1.5568043135115e-05,"199","Bauhinia petersiana",15,10,0,25
"1323",1323,0.117850895021366,"199","Croton gratissimus",4,21,0,25
"1324",1324,0.47048642205879,"199","Acacia ataxacantha",2,23,0,25
"1325",1325,0.34577858615116,"199","Commiphora africana",4,21,1,24
"1326",1326,0.233660388894587,"199","Ozoroa schinzii",0,25,3,22
"1327",1327,0.0144684571051176,"199","Terminalia sericea",7,18,0,25
"1328",1328,1,"199","Combretum collinum",1,24,0,25
"1329",1329,0.47048642205879,"199","Lantana angolensis",2,23,0,25
"1330",1330,1,"199","Acacia hebeclada",0,25,1,24
"1331",1331,0.723673609831763,"199","Stipagrostis uniplumis",6,19,4,21
"1332",1332,1,"199","Blepharis mitrata",2,23,1,24
"1333",1333,1,"199","Merremia tridentata",5,20,6,19
"1334",1334,0.117850895021366,"199","Commelina africana",4,21,0,25
"1335",1335,0.233660388894587,"199","Grewia flava",3,22,0,25
"1336",1336,1,"199","Clerodendrum uncinatum",1,24,0,25
"1337",1337,0.233660388894587,"199","Eragrostis rigidior",0,25,3,22
"1338",1338,1,"199","Combretum hereroense",1,24,0,25
"1339",1339,0.117850895021366,"199","Ipomoea dichroa",4,21,0,25
"1340",1340,0.117850895021366,"199","Clerodendrum ternatum",4,21,0,25
"1341",1341,0.233660388894587,"199","Albuca fleckii",3,22,0,25
"1342",1342,0.233660388894587,"199","Peltophorum africanum",3,22,0,25
"1343",1343,1,"199","Digitaria seriata",0,25,1,24
"1344",1344,1,"199","Raphionacme lanceolata",1,24,1,24
"1345",1345,0.117850895021366,"199","Pergularia daemia",4,21,0,25
"1346",1346,1,"199","Combretum indet.",1,24,0,25
"1347",1347,0.117850895021366,"199","Acacia erioloba",0,25,4,21
"1348",1348,0.117850895021366,"199","Pupalia lappacea",4,21,0,25
"1349",1349,1,"199","Plukenetia africana",1,24,0,25
"1350",1350,0.233660388894587,"199","Ipomoea obscura",0,25,3,22
"1351",1351,0.0593464387919201,"199","Panicum maximum",5,20,0,25
"1352",1352,0.47048642205879,"199","Asparagus nelsii",2,23,0,25
"1353",1353,1,"199","Dichrostachys cinerea",1,24,0,25
"1354",1354,0.47048642205879,"199","Acacia mellifera",2,23,0,25
"1355",1355,1,"199","Ptycholobium biflorum",1,24,0,25
"1356",1356,0.663421515816855,"200","Terminalia sericea",4,21,2,23
"1357",1357,4.22870255672508e-05,"200","Croton gratissimus",14,11,0,25
"1358",1358,0.0338220613717602,"200","Baissea wulfhorstii",12,13,4,21
"1359",1359,1,"200","Acacia ataxacantha",1,24,0,25
"1360",1360,0.34577858615116,"200","Psydrax livida",4,21,1,24
"1361",1361,0.191694602051888,"200","Clerodendrum ternatum",5,20,1,24
"1362",1362,1,"200","Stipagrostis uniplumis",21,4,22,3
"1363",1363,0.191694602051888,"200","Bauhinia petersiana",5,20,1,24
"1364",1364,1,"200","Neorautanenia amboensis",1,24,1,24
"1365",1365,1,"200","Digitaria seriata",11,14,10,15
